"risk_tier","n","ir_observed","ir_rate","mean_pred","min_pred","max_pred"
"very-low",448,53,0.118303571428571,0.132046469779627,0.0234142139072849,0.207437500159073
"low",448,128,0.285714285714286,0.289769765792395,0.207742855185644,0.373246213354697
"medium",447,209,0.467561521252796,0.457203172444518,0.374121696650295,0.544040381492276
"high",448,296,0.660714285714286,0.634013118315032,0.54432059358261,0.731929761786037
"very-high",448,376,0.839285714285714,0.858523730749777,0.73228472924468,0.999506392763562
