"exposure","outcome","model","term","OR","lo","hi","p","p_trend"
"URXMEP_z","ir_binary","Crude","q_Q2_vs_Q1",1.00510129376817,0.741721640507634,1.36200503741948,0.97388969503121,0.374477219300488
"URXMEP_z","ir_binary","Crude","q_Q3_vs_Q1",0.952846216638708,0.682511568455077,1.33025717735136,0.777266176918139,0.374477219300488
"URXMEP_z","ir_binary","Crude","q_Q4_vs_Q1",1.12146192581534,0.829405244028439,1.51635989778036,0.45833176380794,0.374477219300488
"URXMEP_z","ir_binary","M1","q_Q2_vs_Q1",0.976001261180729,0.720522370935165,1.32206646212806,0.875711356287444,0.650147741039124
"URXMEP_z","ir_binary","M1","q_Q3_vs_Q1",0.936595450474149,0.664631754995739,1.31984520940396,0.709122393918422,0.650147741039124
"URXMEP_z","ir_binary","M1","q_Q4_vs_Q1",1.04652839140509,0.760195647189531,1.44071026723976,0.781034704520701,0.650147741039124
"URXMEP_z","ir_binary","M2","q_Q2_vs_Q1",0.828983013787605,0.563268933453934,1.22004391922421,0.344446579214966,0.760141979264281
"URXMEP_z","ir_binary","M2","q_Q3_vs_Q1",0.702814401294048,0.465151279685943,1.06190846771358,0.0980411286046464,0.760141979264281
"URXMEP_z","ir_binary","M2","q_Q4_vs_Q1",0.855093892445354,0.588526005053252,1.24240145485362,0.414016169005627,0.760141979264281
"URXMBP_z","ir_binary","Crude","q_Q2_vs_Q1",1.27400160593236,0.924172203251125,1.75625287820649,0.142717546618833,0.19906857206036
"URXMBP_z","ir_binary","Crude","q_Q3_vs_Q1",1.50183892354976,1.11159292170051,2.0290882644688,0.00951444063628252,0.19906857206036
"URXMBP_z","ir_binary","Crude","q_Q4_vs_Q1",1.28929240056278,0.943234088837208,1.76231426940701,0.114515812575232,0.19906857206036
"URXMBP_z","ir_binary","M1","q_Q2_vs_Q1",1.28677363444129,0.933125263026907,1.77445242552123,0.127802362451534,0.120404071957117
"URXMBP_z","ir_binary","M1","q_Q3_vs_Q1",1.52999720453051,1.12476849907071,2.08122066701301,0.0081605760851034,0.120404071957117
"URXMBP_z","ir_binary","M1","q_Q4_vs_Q1",1.35048218823676,0.989897383337993,1.84241535682697,0.0613674142711991,0.120404071957117
"URXMBP_z","ir_binary","M2","q_Q2_vs_Q1",1.176919770704,0.783508794353395,1.76786802733601,0.435020541815984,0.256983564452133
"URXMBP_z","ir_binary","M2","q_Q3_vs_Q1",1.41212691295753,0.952617580533487,2.09328744193679,0.0897603478011189,0.256983564452133
"URXMBP_z","ir_binary","M2","q_Q4_vs_Q1",1.26914106831459,0.844317149360001,1.90771803285488,0.255268746613114,0.256983564452133
"URXMIB_z","ir_binary","Crude","q_Q2_vs_Q1",1.33578591705955,1.02966266487059,1.73292096245802,0.0318294559010172,1.43395272777792e-05
"URXMIB_z","ir_binary","Crude","q_Q3_vs_Q1",1.58166164525629,1.16302202687251,2.15099413620056,0.00437655387273029,1.43395272777792e-05
"URXMIB_z","ir_binary","Crude","q_Q4_vs_Q1",1.85127777026589,1.44118379055966,2.37806545225556,5.70691969985214e-06,1.43395272777792e-05
"URXMIB_z","ir_binary","M1","q_Q2_vs_Q1",1.32479922396355,1.01838936774917,1.72340073393884,0.0390758169713525,1.20982462137909e-05
"URXMIB_z","ir_binary","M1","q_Q3_vs_Q1",1.55602501790693,1.15207579284508,2.101609869237,0.00498575769681882,1.20982462137909e-05
"URXMIB_z","ir_binary","M1","q_Q4_vs_Q1",1.91817400108606,1.475692061631,2.49333285318068,5.13826177848112e-06,1.20982462137909e-05
"URXMIB_z","ir_binary","M2","q_Q2_vs_Q1",1.284112329539,0.932574013132602,1.76816472650265,0.129555378765339,0.00662887479668964
"URXMIB_z","ir_binary","M2","q_Q3_vs_Q1",1.40195220655326,0.948908798667979,2.07129493605555,0.0938020235413367,0.00662887479668964
"URXMIB_z","ir_binary","M2","q_Q4_vs_Q1",1.63718132857683,1.16694847737476,2.29689892450994,0.005547617399707,0.00662887479668964
"URXMZP_z","ir_binary","Crude","q_Q2_vs_Q1",1.79944101555947,1.31673994533402,2.45909450833611,0.000385796561049712,0.0017829148413969
"URXMZP_z","ir_binary","Crude","q_Q3_vs_Q1",1.60484429333953,1.18305009544581,2.17702125698566,0.00308484589233501,0.0017829148413969
