"contrast","auc1","auc2","delta","p_value"
"b - a (DEHP add)",0.801777476971521,0.80159027307768,-0.00018720389384097,0.821483558090661
"c - a (full phth add)",0.801777476971521,0.798229403171586,-0.00354807379993505,0.0947787876514082
"d - a (XGB add)",0.801777476971521,0.783679500533611,-0.0180979764379099,0.000512921432694551
