"threshold","nb_baseline","nb_augmented","delta_nb"
0.1,0.420078408019453,0.420773162622202,0.000694754602749204
0.2,0.368914694059848,0.369138008039303,0.000223313979455075
0.3,0.311108275378039,0.311427295348689,0.000319019970650203
0.4,0.258597588209022,0.259937472085753,0.00133988387673067
