"exposure","outcome","HR","CI_low","CI_high","p_value","RR_approx","Evalue_point","Evalue_CIbound"
"MEP","All_cause_mortality",1.5699328680421,1.05079182313352,2.3455542343383,0.0470812828067171,1.5699328680421,2.51584847850468,1.28181483590659
"MnBP","All_cause_mortality",1.31912088637608,0.865019735432682,2.01160718258437,0.19744828057155,1.31912088637608,1.96793443933066,1
"MiBP","All_cause_mortality",0.902098408553834,0.620957282874008,1.31052740850207,0.519872227184575,0.902098408553834,1.4553759186646,NA
"MBzP","All_cause_mortality",1.10015734684949,0.730445219065715,1.65699789147091,0.574439798628828,1.10015734684949,1.4321043922911,1
"MEHP","All_cause_mortality",1.74207868214541,1.20531898912453,2.51787133710536,0.0137008326155325,1.74207868214541,2.87907448365044,1.70278745688873
"MEHHP","All_cause_mortality",2.08459748377789,1.46616843773403,2.96387956358492,0.00115488846959672,2.08459748377789,3.58824278290772,2.29289780704022
"MEOHP","All_cause_mortality",1.9624759007068,1.40340059308146,2.74427107971973,0.00163561149118726,1.9624759007068,3.33682511402493,2.155818450113
"MECPP","All_cause_mortality",1.98222664122652,1.42206748627109,2.76303515488656,0.000837432301221853,1.98222664122652,3.37757456055047,2.19679869723286
"Sum-DEHP","All_cause_mortality",2.03887846583191,1.46376641493084,2.83995134471607,0.000372465540589951,2.03887846583191,3.4942639586142,2.28768734714986
