"outcome","psi","psi_se","psi_lcl","psi_ucl","p","scale","boot_B","n_obs"
"HOMA-IR (log, gaussian)",0.0224903018496006,0.0207343967347939,-0.0181483689917604,0.0631289726909616,0.278178699611168,"beta (log-scale)",2,2239
"IR binary (HOMA >= 2.5)",0.114208627536728,0.179746687451753,-0.238088406209085,0.466505661282541,0.525176338271909,"log-OR",2,2239
