"outcome","direction","family","beta","se","ci_lcl","ci_ucl","p","n","p_BH"
"homa_ir_log","positive","gaussian",0.0612083131707781,0.0194438069394061,0.0230984515695422,0.099318174772014,0.0016899741563395,1077,0.00675989662535798
"homa_ir_log","negative","gaussian",0.0111073281605747,0.0199775332288605,-0.0280486369679919,0.0502632932891414,0.578334139905546,1077,0.578334139905546
"ir_binary","positive","binomial",0.126609438505787,0.0792010643903917,-0.0286246476993811,0.281843524710954,0.109913392334178,1077,0.219826784668356
"ir_binary","negative","binomial",0.0460009749957884,0.0759599584330959,-0.10288054353308,0.194882493524656,0.544783688663061,1077,0.578334139905546
