"model","cal_intercept","cal_slope","brier","hl_chisq","hl_df","hl_p","belt_p"
"Baseline (covariates only)",-4.69870964476043e-09,0.999999977547915,0.178784661803168,12.4431377991124,8,0.132500195259407,0.000512152285669698
"Augmented (+ Phthalate)",-4.56056958318145e-09,0.999999977809098,0.178428371136737,12.0733033082003,8,0.147963115672937,0.000955057455946817
