"model","auroc","auroc_lo","auroc_hi","brier","cal_in_large","cal_slope","hl_p"
"a_covariates_only",0.801777476971521,0.783851583477205,0.819703370465837,0.18188611937412,-0.00577235471934879,0.95982735344906,0.187896822736015
"b_cov_plus_DEHP",0.80159027307768,0.783659624357956,0.819520921797404,0.18184700300014,-0.00540266078946335,0.957201820630732,0.177203035256051
"c_cov_plus_8phth_DEHP_HMW_LMW",0.798229403171586,0.780197274657402,0.81626153168577,0.183328449395491,-0.0103062560645399,0.922806945938746,0.0536026797817133
"d_xgboost_full",0.783679500533611,0.765062697964518,0.802296303102704,0.193202871782972,-0.00267028698581853,0.696524922302089,3.33066907387547e-16
