"exposure","cutoff","outcome","model_spec","subset","estimate","conf.low","conf.high","p.value","n","direction","sig","effect_sign","spec_id","estimate_pretty","p_pretty"
"sum_hmw","Q4vsQ1","ir_binary","M1","Crude",1.50424432607034,1.09525188618899,2.06596402256673,0.0122882356842718,2239,"positive",TRUE,1,131,"1.504 (1.095-2.066)","0.0123"
"sum_dehp_mol","Q3vsQ1","ir_binary","M2","Male",1.51786203117277,0.883745347470402,2.6069785286797,0.128464382265023,1130,"positive",FALSE,1,132,"1.518 (0.884-2.607)","0.128"
"sum_dehp_mol","Q4vsQ1","ir_binary","M1","Crude",1.52715510408867,1.11830980215233,2.0854710451929,0.00832449387093663,2239,"positive",TRUE,1,133,"1.527 (1.118-2.085)","0.00832"
"sum_hmw","Q4vsQ1","ir_binary","M1","Fasting>=10h",1.56426187302114,1.12524297918454,2.17456607386333,0.00835468115768621,2005,"positive",TRUE,1,134,"1.564 (1.125-2.175)","0.00835"
"sum_hmw","Q4vsQ1","ir_binary","M2","Age<60",1.62322483735671,0.980640610524962,2.68687513481744,0.0593249625329236,1620,"positive",FALSE,1,135,"1.623 (0.981-2.687)","0.0593"
"sum_dehp_mol","Q4vsQ1","ir_binary","M2","Age<60",1.62941694135222,0.991687506843737,2.67725422619849,0.0538747668234621,1620,"positive",FALSE,1,136,"1.629 (0.992-2.677)","0.0539"
"sum_dehp_mol","Q4vsQ1","ir_binary","M1","Fasting>=10h",1.63128165299038,1.18463457424339,2.2463297030501,0.00313244740393824,2005,"positive",TRUE,1,137,"1.631 (1.185-2.246)","0.00313"
"sum_dehp_mol","Q4vsQ1","ir_binary","M1","Male",1.6768575858057,1.0754413749075,2.6146021797943,0.0230973608117017,1130,"positive",TRUE,1,138,"1.677 (1.075-2.615)","0.0231"
"sum_hmw","Q4vsQ1","ir_binary","M1","Male",1.67758257309379,1.07828011275948,2.60997421379294,0.0223331363671923,1130,"positive",TRUE,1,139,"1.678 (1.078-2.610)","0.0223"
"sum_dehp_mol","Q3vsQ1","ir_binary","M1","Male",1.74808693905889,1.16360130234546,2.62616408244705,0.00773759748021912,1130,"positive",TRUE,1,140,"1.748 (1.164-2.626)","0.00774"
"sum_hmw","Q3vsQ1","ir_binary","M1","Age<60",1.76573952789133,1.20735296897253,2.58237330795748,0.00382670734089763,1620,"positive",TRUE,1,141,"1.766 (1.207-2.582)","0.00383"
"sum_dehp_mol","Q3vsQ1","ir_binary","M1","Age<60",1.81398754727595,1.28734271555194,2.55607988604761,0.000867582487049683,1620,"positive",TRUE,1,142,"1.814 (1.287-2.556)","0.000868"
"sum_dehp_mol","Q4vsQ1","ir_binary","M1","Age<60",1.90514508501411,1.31359257865687,2.76309249452721,0.000883670570387583,1620,"positive",TRUE,1,143,"1.905 (1.314-2.763)","0.000884"
"sum_hmw","Q4vsQ1","ir_binary","M1","Age<60",1.9602119841676,1.33593203053066,2.87621745347926,0.000767715025379504,1620,"positive",TRUE,1,144,"1.960 (1.336-2.876)","0.000768"
