"exposure","cutoff","outcome","model_spec","subset","estimate","conf.low","conf.high","p.value","n","direction","sig","effect_sign","spec_id","estimate_pretty","p_pretty"
"sum_dehp_mol","Q2vsQ1","homa_ir_log","M2","Crude",-0.0196818881581149,-0.105143255131614,0.0657794788153847,0.647661119169029,2239,"negative",FALSE,-1,27,"-0.020 (-0.105-0.066)","0.648"
"sum_hmw","Q2vsQ1","homa_ir_log","M2","Age<60",-0.0203474985410547,-0.132278812329061,0.091583815246952,0.718223247666484,1620,"negative",FALSE,-1,28,"-0.020 (-0.132-0.092)","0.718"
"sum_lmw","Q2vsQ1","homa_ir_log","M2","Age<60",-0.0226878237903516,-0.130635842902881,0.0852601953221783,0.676589917579016,1620,"negative",FALSE,-1,29,"-0.023 (-0.131-0.085)","0.677"
"sum_hmw","Q3vsQ1","homa_ir_log","M2","Crude",0.0246920694267798,-0.0658686434046986,0.115252782258258,0.588568379082908,2239,"positive",FALSE,1,30,"0.025 (-0.066-0.115)","0.589"
"sum_lmw","Q4vsQ1","homa_ir_log","M2","Fasting>=10h",-0.0247133054206803,-0.126319160545253,0.0768925497038925,0.629362686309392,2005,"negative",FALSE,-1,31,"-0.025 (-0.126-0.077)","0.629"
"sum_lmw","Q2vsQ1","homa_ir_log","M2","Male",-0.029229844963474,-0.153288287013258,0.0948285970863095,0.640056858108101,1130,"negative",FALSE,-1,32,"-0.029 (-0.153-0.095)","0.64"
"sum_hmw","Q3vsQ1","homa_ir_log","M2","Fasting>=10h",0.0348618290324848,-0.0670159457119349,0.136739603776905,0.497472590042756,2005,"positive",FALSE,1,33,"0.035 (-0.067-0.137)","0.497"
"sum_hmw","Q2vsQ1","homa_ir_log","M2","Crude",-0.0366051640595114,-0.126527985906349,0.0533176577873268,0.419903156497953,2239,"negative",FALSE,-1,34,"-0.037 (-0.127-0.053)","0.42"
"sum_dehp_mol","Q3vsQ1","homa_ir_log","M2","Crude",0.0393252078009053,-0.0494322875630274,0.128082703164838,0.380190686581753,2239,"positive",FALSE,1,35,"0.039 (-0.049-0.128)","0.38"
"sum_lmw","Q2vsQ1","homa_ir_log","M2","Crude",-0.0434671804524069,-0.131354041849251,0.0444196809444369,0.32760236019063,2239,"negative",FALSE,-1,36,"-0.043 (-0.131-0.044)","0.328"
"sum_lmw","Q4vsQ1","homa_ir_log","M2","Male",0.0486693590051963,-0.0792130926898021,0.176551810700195,0.450598109879598,1130,"positive",FALSE,1,37,"0.049 (-0.079-0.177)","0.451"
"sum_lmw","Q2vsQ1","homa_ir_log","M1","Male",0.0516981578608645,-0.100438524299588,0.203834840021317,0.501051016938165,1130,"positive",FALSE,1,38,"0.052 (-0.100-0.204)","0.501"
"sum_dehp_mol","Q2vsQ1","homa_ir_log","M2","Male",0.0548952173507445,-0.0668506717587548,0.176641106460244,0.371797779666184,1130,"positive",FALSE,1,39,"0.055 (-0.067-0.177)","0.372"
