"variable","label","n","threshold","pos_rate","tp_rate","fp_rate","harm","net_benefit"
"all","Treat All",2239,0.05,0.474318892362662,0.474318892362662,0.525681107637338,0,0.446651465644907
"all","Treat All",2239,0.06,0.474318892362662,0.474318892362662,0.525681107637338,0,0.440764779109215
"all","Treat All",2239,0.07,0.474318892362662,0.474318892362662,0.525681107637338,0,0.434751497164153
"all","Treat All",2239,0.08,0.474318892362662,0.474318892362662,0.525681107637338,0,0.428607491698546
"all","Treat All",2239,0.09,0.474318892362662,0.474318892362662,0.525681107637338,0,0.422328453145782
"all","Treat All",2239,0.1,0.474318892362662,0.474318892362662,0.525681107637338,0,0.415909880402958
"all","Treat All",2239,0.11,0.474318892362662,0.474318892362662,0.525681107637338,0,0.409347070070407
"all","Treat All",2239,0.12,0.474318892362662,0.474318892362662,0.525681107637338,0,0.40263510495757
"all","Treat All",2239,0.13,0.474318892362662,0.474318892362662,0.525681107637338,0,0.395768841796163
"all","Treat All",2239,0.14,0.474318892362662,0.474318892362662,0.525681107637338,0,0.388742898096119
"all","Treat All",2239,0.15,0.474318892362662,0.474318892362662,0.525681107637338,0,0.38155163807372
"all","Treat All",2239,0.16,0.474318892362662,0.474318892362662,0.525681107637338,0,0.374189157574597
"all","Treat All",2239,0.17,0.474318892362662,0.474318892362662,0.525681107637338,0,0.366649267906822
"all","Treat All",2239,0.18,0.474318892362662,0.474318892362662,0.525681107637338,0,0.358925478491051
"all","Treat All",2239,0.19,0.474318892362662,0.474318892362662,0.525681107637338,0,0.351010978225509
"all","Treat All",2239,0.2,0.474318892362662,0.474318892362662,0.525681107637338,0,0.342898615453327
"all","Treat All",2239,0.21,0.474318892362662,0.474318892362662,0.525681107637338,0,0.334580876408433
"all","Treat All",2239,0.22,0.474318892362662,0.474318892362662,0.525681107637338,0,0.326049862003413
"all","Treat All",2239,0.23,0.474318892362662,0.474318892362662,0.525681107637338,0,0.317297262808652
"all","Treat All",2239,0.24,0.474318892362662,0.474318892362662,0.525681107637338,0,0.308314332056134
"all","Treat All",2239,0.25,0.474318892362662,0.474318892362662,0.525681107637338,0,0.299091856483549
"all","Treat All",2239,0.26,0.474318892362662,0.474318892362662,0.525681107637338,0,0.289620124814408
"all","Treat All",2239,0.27,0.474318892362662,0.474318892362662,0.525681107637338,0,0.279888893647482
"all","Treat All",2239,0.28,0.474318892362662,0.474318892362662,0.525681107637338,0,0.269887350503697
"all","Treat All",2239,0.29,0.474318892362662,0.474318892362662,0.525681107637338,0,0.259604073750228
"all","Treat All",2239,0.3,0.474318892362662,0.474318892362662,0.525681107637338,0,0.249026989089517
"all","Treat All",2239,0.31,0.474318892362662,0.474318892362662,0.525681107637338,0,0.238143322264727
"all","Treat All",2239,0.32,0.474318892362662,0.474318892362662,0.525681107637338,0,0.22693954759215
