"param","rhat","ess","pass"
"sigsq.eps",1.0008327706043,6626.30849599413,TRUE
"lambda",1.0227308243752,498.938455798773,TRUE
"r_MEP",1.014795869902,368.925982378537,FALSE
"r_MnBP",1.00559716413038,207.840738230079,FALSE
"r_MiBP",1.01294015640317,215.94682378453,FALSE
"r_MBzP",1.00242197606056,697.046183790685,TRUE
"r_MEHP",1.01533709939401,178.744707632507,FALSE
"r_MEHHP",1.00199620111699,311.060631742175,FALSE
"r_MEOHP",1.01238241021531,368.808800006157,FALSE
"r_MECPP",1.00322639647258,320.354905324606,FALSE
