"outcome","direction","family","scale","beta","se","ci_lcl","ci_ucl","z","p","n","effect_str"
"homa_ir_log","positive","gaussian","log-scale",0.0612083131707781,0.0194438069394061,0.0230984515695422,0.099318174772014,3.1479593148361,0.0016899741563395,1077,"beta=0.0612 (0.0231 to 0.0993), p=0.00169"
"homa_ir_log","negative","gaussian","log-scale",0.0111073281605747,0.0199775332288605,-0.0280486369679919,0.0502632932891414,0.555990974127303,0.578334139905546,1077,"beta=0.0111 (-0.0280 to 0.0503), p=0.5783"
