"outcome","treatment","n_treated","n_control","scale","estimate","lcl","ucl","p","effect_str"
"IR binary (HOMA>=2.5)","Σ-DEHP Q4 vs Q1-Q3",560,1679,"OR",1.17707467461843,0.928756039602533,1.49178549645936,0.180735051037976,"OR=1.177 (0.929-1.492), p=0.1807"
"HOMA-IR (log)","Σ-DEHP Q4 vs Q1-Q3",560,1679,"log-scale beta",0.105825684651449,0.0147807395706007,0.196870629732298,0.0250045640740903,"beta=0.1058 (0.0148 to 0.1969), p=0.025"
